CLB10356 RESOURCE17232
CLB10357 RESOURCE20258
CLB10358 RESOURCE14258
CLB10359 RESOURCE12813
CLB1036 RESOURCE14144
CLB10360 RESOURCE6227
CLB10361 RESOURCE5721
CLB10362 RESOURCE24084
CLB10363 RESOURCE22720
CLB10364 RESOURCE15322
CLB10365 RESOURCE11110
CLB10366 RESOURCE34260
CLB10367 RESOURCE15798
CLB10368 RESOURCE25617
CLB10369 RESOURCE13317
CLB1037 RESOURCE21947
CLB10370 RESOURCE3219
CLB10371 RESOURCE12149
CLB10372 RESOURCE17676
CLB10373 RESOURCE7171
CLB10374 RESOURCE9663
CLB10375 RESOURCE831
CLB10376 RESOURCE7119
CLB10377 RESOURCE2704
CLB10378 RESOURCE4612
CLB10379 RESOURCE1803
CLB1038 RESOURCE33130
CLB10380 RESOURCE29812
CLB10381 RESOURCE27179
CLB10382 RESOURCE23715
CLB10383 RESOURCE14667
CLB10384 RESOURCE19237
CLB10385 RESOURCE24505
CLB10386 RESOURCE8586
CLB10387 RESOURCE34200
CLB10388 RESOURCE21573
CLB10389 RESOURCE10040
CLB1039 RESOURCE23519
CLB10390 RESOURCE17666
CLB10391 RESOURCE10514
CLB10392 RESOURCE19683
CLB10393 RESOURCE27138
CLB10394 RESOURCE3699
CLB10395 RESOURCE27147
CLB10396 RESOURCE5149
CLB10397 RESOURCE9181
CLB10398 RESOURCE19273
CLB10399 RESOURCE2271
CLB104 RESOURCE26016
CLB1040 RESOURCE9036
CLB10400 RESOURCE12815
CLB10401 RESOURCE20132
CLB10402 RESOURCE16284
CLB10403 RESOURCE15804
CLB10404 RESOURCE5752
CLB10405 RESOURCE24125
CLB10406 RESOURCE16784
CLB10407 RESOURCE3235
CLB10408 RESOURCE27658
CLB10409 RESOURCE16776
CLB1041 RESOURCE24158
CLB10410 RESOURCE11094
CLB10411 RESOURCE15306
CLB10412 RESOURCE25161
CLB10413 RESOURCE28747
CLB10414 RESOURCE10879
CLB10415 RESOURCE9535
CLB10416 RESOURCE10917
CLB10417 RESOURCE6991
CLB10418 RESOURCE10016
CLB10419 RESOURCE9476
CLB1042 RESOURCE11995
CLB10420 RESOURCE13645
CLB10421 RESOURCE7944
CLB10422 RESOURCE12686
CLB10423 RESOURCE12622
CLB10424 RESOURCE8972
CLB10425 RESOURCE24700
CLB10426 RESOURCE10474
CLB10427 RESOURCE1169
CLB10428 RESOURCE18076
CLB10429 RESOURCE10430
CLB1043 RESOURCE4034
CLB10430 RESOURCE7446
CLB10431 RESOURCE5021
CLB10432 RESOURCE16127
CLB10433 RESOURCE11560
CLB10434 RESOURCE5020
CLB10435 RESOURCE9051
CLB10436 RESOURCE13718
CLB10437 RESOURCE8113
CLB10438 RESOURCE9913
CLB10439 RESOURCE347
CLB1044 RESOURCE29088
CLB10440 RESOURCE20633
CLB10441 RESOURCE1664
CLB10442 RESOURCE13677
CLB10443 RESOURCE16232
CLB10444 RESOURCE10495
CLB10445 RESOURCE30313
CLB10446 RESOURCE10019
CLB10447 RESOURCE25934
CLB10448 RESOURCE13631
CLB10449 RESOURCE9620
CLB1045 RESOURCE23032
CLB10450 RESOURCE19171
CLB10451 RESOURCE11543
CLB10452 RESOURCE6076
CLB10453 RESOURCE4121
CLB10454 RESOURCE7435
CLB10455 RESOURCE9932
CLB10456 RESOURCE20531
CLB10457 RESOURCE14069
CLB10458 RESOURCE8357
CLB10459 RESOURCE14125
CLB1046 RESOURCE17049
CLB10460 RESOURCE10467
CLB10461 RESOURCE17595
CLB10462 RESOURCE2602
CLB10463 RESOURCE10851
CLB10464 RESOURCE15226
CLB10465 RESOURCE6117
CLB10466 RESOURCE9621
CLB10467 RESOURCE7151
CLB10468 RESOURCE31740
CLB10469 RESOURCE6568
CLB1047 RESOURCE27440
CLB10470 RESOURCE11492
CLB10471 RESOURCE6539
CLB10472 RESOURCE11903
CLB10473 RESOURCE16065
CLB10474 RESOURCE13151
CLB10475 RESOURCE9506
CLB10476 RESOURCE10911
CLB10477 RESOURCE11500
CLB10478 RESOURCE30301
CLB10479 RESOURCE13568
CLB1048 RESOURCE15615
CLB10480 RESOURCE32638
CLB10481 RESOURCE12822
CLB10482 RESOURCE7981
CLB10483 RESOURCE9174
CLB10484 RESOURCE17229
CLB10485 RESOURCE8655
CLB10486 RESOURCE1222
CLB10487 RESOURCE10004
CLB10488 RESOURCE742
CLB10489 RESOURCE6659
CLB1049 RESOURCE20033
CLB10490 RESOURCE15321
CLB10491 RESOURCE4511
CLB10492 RESOURCE7068
CLB10493 RESOURCE10515
CLB10494 RESOURCE15270
CLB10495 RESOURCE7587
CLB10496 RESOURCE21072
CLB10497 RESOURCE5640
CLB10498 RESOURCE27585
CLB10499 RESOURCE6627
CLB105 RESOURCE34230
CLB1050 RESOURCE28096
CLB10500 RESOURCE10531
CLB10501 RESOURCE8563
CLB10502 RESOURCE8514
CLB10503 RESOURCE12730
CLB10504 RESOURCE12077
CLB10505 RESOURCE11066
CLB10506 RESOURCE8488
CLB10507 RESOURCE4575
CLB10508 RESOURCE3209
CLB10509 RESOURCE7694
CLB1051 RESOURCE8979
CLB10510 RESOURCE8059
CLB10511 RESOURCE10673
CLB10512 RESOURCE2662
CLB10513 RESOURCE19260
CLB10514 RESOURCE1161
CLB10515 RESOURCE15207
CLB10516 RESOURCE13161
CLB10517 RESOURCE8461
CLB10518 RESOURCE10504
CLB10519 RESOURCE10521
CLB1052 RESOURCE23490
CLB10520 RESOURCE17656
CLB10521 RESOURCE34096
CLB10522 RESOURCE3677
CLB10523 RESOURCE13686
CLB10524 RESOURCE10959
CLB10525 RESOURCE12697
CLB10526 RESOURCE7015
CLB10527 RESOURCE2606
CLB10528 RESOURCE24495
CLB10529 RESOURCE23076
CLB1053 RESOURCE23017
CLB10530 RESOURCE7979
CLB10531 RESOURCE6202
CLB10532 RESOURCE13714
CLB10533 RESOURCE30668
CLB10534 RESOURCE22606
CLB10535 RESOURCE10525
CLB10536 RESOURCE6623
CLB10537 RESOURCE11590
CLB10538 RESOURCE6159
CLB10539 RESOURCE13234
CLB1054 RESOURCE23027
CLB10540 RESOURCE9067
CLB10541 RESOURCE18207
CLB10542 RESOURCE9674
CLB10543 RESOURCE17178
CLB10544 RESOURCE6595
CLB10545 RESOURCE6605
CLB10546 RESOURCE35192
CLB10547 RESOURCE11096
CLB10548 RESOURCE20700
CLB10549 RESOURCE4163
CLB1055 RESOURCE14070
CLB10550 RESOURCE35557
CLB10551 RESOURCE6585
CLB10552 RESOURCE5624
CLB10553 RESOURCE4615
CLB10554 RESOURCE12737
CLB10555 RESOURCE7133
CLB10556 RESOURCE3682
CLB10557 RESOURCE3117
CLB10558 RESOURCE6604
CLB10559 RESOURCE5126
CLB1056 RESOURCE5001
CLB10560 RESOURCE16256
CLB10561 RESOURCE12183
CLB10562 RESOURCE14264
CLB10563 RESOURCE5206
CLB10564 RESOURCE4118
CLB10565 RESOURCE5654
CLB10566 RESOURCE12096
CLB10567 RESOURCE4103
CLB10568 RESOURCE22658
CLB10569 RESOURCE6617
CLB1057 RESOURCE26404
CLB10570 RESOURCE8508
CLB10571 RESOURCE1241
CLB10572 RESOURCE6124
CLB10573 RESOURCE21592
CLB10574 RESOURCE12054
CLB10575 RESOURCE8548
CLB10576 RESOURCE35164
CLB10577 RESOURCE14227
CLB10578 RESOURCE36601
CLB10579 RESOURCE3617
CLB1058 RESOURCE11983
CLB10580 RESOURCE6150
CLB10581 RESOURCE11595
CLB10582 RESOURCE239
CLB10583 RESOURCE12717
CLB10584 RESOURCE6107
CLB10585 RESOURCE15201
CLB10586 RESOURCE7066
CLB10587 RESOURCE9131
CLB10588 RESOURCE10574
CLB10589 RESOURCE4566
CLB1059 RESOURCE30114
CLB10590 RESOURCE36598
CLB10591 RESOURCE739
CLB10592 RESOURCE15267
CLB10593 RESOURCE15262
CLB10594 RESOURCE275
CLB10595 RESOURCE4136
CLB10596 RESOURCE31722
CLB10597 RESOURCE11061
CLB10598 RESOURCE12018
CLB10599 RESOURCE2629
CLB106 RESOURCE44743
CLB1060 RESOURCE10466
CLB10600 RESOURCE4073
CLB10601 RESOURCE1189
CLB10602 RESOURCE6079
CLB10603 RESOURCE9087
CLB10604 RESOURCE11030
CLB10605 RESOURCE7565
